ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Foreign Born",0,"Under 5 Years",2015,"2015",14,15.000000000000002,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0002945941964943291
3,"Foreign Born",1,"5 to 17 Years",2015,"2015",149,87,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0031353239484039307
3,"Foreign Born",2,"18 to 24 Years",2015,"2015",1269,286,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.026702859667950257
3,"Foreign Born",3,"25 to 34 Years",2015,"2015",1686,300,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.03547755823495991
3,"Foreign Born",4,"35 to 44 Years",2015,"2015",556,182,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.011699598089346211
3,"Foreign Born",5,"45 to 54 Years",2015,"2015",397,152,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.008353849714874902
3,"Foreign Born",6,"55 to 59 Years",2015,"2015",63,31,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0013256738842244808
3,"Foreign Born",7,"60 & 61 Years",2015,"2015",75,47,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0015781831955053343
3,"Foreign Born",8,"62 to 64 Years",2015,"2015",46,39,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0009679523599099383
3,"Foreign Born",9,"65 to 74 Years",2015,"2015",82,51,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0017254802937524988
3,"Foreign Born",10,"75 Years & Over",2015,"2015",98,86,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0020621593754603035
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6042,"2014",2305,388,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.049198522977097606
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6042,"2014",4844,655,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.10339160316748842
